"NUM_CLIENT"	"SOLDE"
1098	0
1099	-507,972
1100	0
1101	0,72
1102	-1987,689
1103	0
1104	-406,536
1105	-1374,991
1106	0
1107	-5,216
1108	-2405,33
1109	0
1110	0
1111	0
1112	0
1113	-400
1114	0
1115	-32011
1116	20,35
1117	0
1118	0
1119	0
1120	-789,4
1121	-2,32
1122	0
1123	0
1124	-1678,227
1125	0
1126	0
1127	-116,862
1128	0
1129	0
1130	-14,019
1131	0
1132	-3591,271
1133	0
1134	-5507,631
1135	0
1136	0
1137	0
1138	0
1139	0
1140	-15
1141	362,6
1142	0
1143	0
1144	0
1145	0
1146	0
1147	-730,072
1148	0
1149	0
1150	0
1151	0
1152	0
1153	0
1154	-946,45
1155	-278
1156	350,046
1157	-76,097
1158	-2598,094
1159	-1437,2
1160	0
1161	0
1162	0
1163	0
1164	0
1165	0
1166	5,24
1167	-67
1168	0
1169	-1776,356
1170	0
1171	0
1172	202
1173	0
1174	0
1175	-3271,09
1176	0
1177	-125,899
1178	0
1179	0
1180	-14,767
1181	-14,767
1182	-285,201
1183	0
1184	0
1185	0
1186	0
1187	0
1188	0
1189	0
1190	0
1191	-747,896
1192	0
1193	0
1194	0
1195	-463,444
1196	0
1197	-48351,218
1198	0
1199	0
1200	5990,145
1201	0
1202	0
1203	0
1204	-3980,784
1205	0
1206	0
1207	0
1208	0
1209	0
1210	0
1211	-8783,433
1212	0
1213	0
1214	0
1215	-1851,772
1216	0
1217	-4137,094
1218	0
1219	0,64
1220	0
1221	0
1222	0
1223	0
1224	-94052,154
1225	0
1226	0
1227	0
1228	0
1229	-463,216
1230	0
1231	0
1232	0
1233	-10031,08
1234	0
1235	776,234
1236	158,92
1237	0,111
1238	0
1239	0
1240	-1937,21
1241	-2397,524
1242	1769,248
1243	-4454,28
1244	0
1245	5956,449
1246	-2266,681
1247	-825,394
1248	0
1249	0
1250	0,15
1251	0
1252	-33902,698
1253	1466,954
1254	0
1255	0
1256	0
1257	0
1258	0
1259	-1426,306
1260	0,28
1261	0
1262	0
1263	-0,757
